"User_ID","UTC_Time","Account","Operation","Coin","Change","Remark"
"111222333","2023-11-03 10:20:46","Spot","Deposit","EUR","100.00000000",""
"111222333","2023-11-06 09:54:17","Spot","Deposit","EUR","900.00000000",""
"111222333","2023-11-06 09:59:30","Spot","Deposit","EUR","104.50000000",""
"111222333","2023-11-06 10:01:13","Spot","Binance Convert","BTC","0.03359440",""
"111222333","2023-11-06 10:01:13","Spot","Binance Convert","EUR","-1100.00000000",""
"111222333","2023-11-07 16:24:45","Spot","Transaction Buy","UNFI","2.10000000",""
"111222333","2023-11-07 16:24:45","Spot","Transaction Fee","UNFI","-0.00210000",""
"111222333","2023-11-07 16:24:45","Spot","Transaction Buy","UNFI","3.30000000",""
"111222333","2023-11-07 16:24:45","Spot","Transaction Fee","UNFI","-0.00330000",""
"111222333","2023-11-07 16:24:45","Spot","Transaction Spend","BTC","-0.00099660",""
"111222333","2023-11-07 16:24:45","Spot","Transaction Spend","BTC","-0.00063420",""
"111222333","2023-11-07 17:04:58","Spot","Transaction Spend","BTC","-0.00166171",""
"111222333","2023-11-07 17:04:58","Spot","Transaction Fee","NEAR","-0.04050000",""
"111222333","2023-11-07 17:04:58","Spot","Transaction Buy","NEAR","40.50000000",""
"111222333","2023-11-07 18:14:08","Spot","Transaction Sold","NEAR","-40.40000000",""
"111222333","2023-11-07 18:14:08","Spot","Transaction Fee","BTC","-0.00000168",""
"111222333","2023-11-07 18:14:08","Spot","Transaction Revenue","BTC","0.00168427",""
"111222333","2023-11-07 18:29:09","Spot","Transaction Fee","BTC","-0.00000161",""
"111222333","2023-11-07 18:29:09","Spot","Transaction Sold","UNFI","-5.30000000",""
"111222333","2023-11-07 18:29:09","Spot","Transaction Revenue","BTC","0.00161014",""
"111222333","2023-11-07 18:50:11","Spot","Transaction Fee","MOVR","-0.00943500",""
"111222333","2023-11-07 18:50:11","Spot","Transaction Buy","MOVR","9.43500000",""
"111222333","2023-11-07 18:50:11","Spot","Transaction Spend","BTC","-0.00165584",""
"111222333","2023-11-07 19:26:00","Spot","Transaction Revenue","BTC","0.00168330",""
"111222333","2023-11-07 19:26:00","Spot","Transaction Sold","MOVR","-9.42500000",""
"111222333","2023-11-07 19:26:00","Spot","Transaction Fee","BTC","-0.00000168",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Spend","BTC","-0.00098605",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Fee","OAX","-0.18500000",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Buy","OAX","19.00000000",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Buy","OAX","112.00000000",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Fee","OAX","-0.01900000",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Spend","BTC","-0.00059696",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Spend","BTC","-0.00010108",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Buy","OAX","185.00000000",""
"111222333","2023-11-07 22:31:53","Spot","Transaction Fee","OAX","-0.11200000",""
"111222333","2023-11-07 23:37:31","Spot","Transaction Spend","BTC","-0.00166933",""
"111222333","2023-11-07 23:37:31","Spot","Transaction Buy","XVS","8.33000000",""
"111222333","2023-11-07 23:37:31","Spot","Transaction Fee","XVS","-0.00833000",""
"111222333","2023-11-08 00:01:01","Spot","Transaction Fee","BTC","-0.00000101",""
"111222333","2023-11-08 00:01:01","Spot","Transaction Fee","BTC","-6.7E-7",""
"111222333","2023-11-08 00:01:01","Spot","Transaction Sold","XVS","-5.01000000",""
"111222333","2023-11-08 00:01:01","Spot","Transaction Revenue","BTC","0.00066663",""
"111222333","2023-11-08 00:01:01","Spot","Transaction Revenue","BTC","0.00100901",""
"111222333","2023-11-08 00:01:01","Spot","Transaction Sold","XVS","-3.31000000",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Buy","ENJ","22.30000000",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Spend","BTC","-0.00017257",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Fee","ENJ","-0.02230000",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Fee","ENJ","-0.01950000",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Buy","ENJ","19.50000000",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Spend","BTC","-0.00019735",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Fee","ENJ","-0.14580000",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Buy","ENJ","145.80000000",""
"111222333","2023-11-08 01:51:32","Spot","Transaction Spend","BTC","-0.00129033",""
"111222333","2023-11-08 01:53:20","Spot","Transaction Spend","BTC","-0.00168630",""
"111222333","2023-11-08 01:53:20","Spot","Transaction Fee","ENJ","-0.19250000",""
"111222333","2023-11-08 01:53:20","Spot","Transaction Buy","ENJ","192.50000000",""
"111222333","2023-11-08 02:00:10","Spot","Transaction Fee","BTC","-0.00000171",""
